facility_name,metric_name,facility_metric_value,time_period,animal_description,other_party,animal_age,animal_type
"2 Blondes All Breed Rescue, Inc.","1/1/2023
 Adult Dogs
 In Shelter",32,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
4 Paws 4 Life Rescue,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
5280 Reptile Room North,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
5280 Reptile Room west,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
7 Paws Rescue Ranch,"1/1/2023
 Adult Dogs
 In Shelter",2,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
9 LIVES RESCUE,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
A cat rescue out in the sticks,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
A Friend of Jack Rescue,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Above and Beyond English Setter Rescue,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Adoptable Animal Rescue Force,"1/1/2023
 Adult Dogs
 In Shelter",3,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Agents of Chaos TNR,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Airedale Terrier Rescue and Adoption (ATRA),"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
All Aboard Animal Rescue,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
all mixed up dog rescue,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
All Points West German Shorthaired Pointer Rescue,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Almost Home Adoptions,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Amigos de los Animales Colorado,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Angels with Paws,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Angels with Paws,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Animal Aid of Colorado,"1/1/2023
 Adult Dogs
 In Shelter",4,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Animal Attraction,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Animal Friends Alliance,"1/1/2023
 Adult Dogs
 In Shelter",21,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Animal Kingdom,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Animal Rescue of the Rockies,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Animal Rescue of the Rockies Cat Casita,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Animal Rescue of the Rockies Just Cats Cat Cottage,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Animal Welfare & Protection Society,"1/1/2023
 Adult Dogs
 In Shelter",33,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Annies Orphans,"1/1/2023
 Adult Dogs
 In Shelter",53,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Archway Adventures,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Ark-Valley Humane Society,"1/1/2023
 Adult Dogs
 In Shelter",9,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Ark-Valley Humane Society,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Aspen/Pitkin County Animal Shelter,"1/1/2023
 Adult Dogs
 In Shelter",19,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Australian Shepherds Furever,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Avalon Aviary Bird Store,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Bear Creek Animal Hospital,"1/1/2023
 Adult Dogs
 In Shelter",1,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Beasties a pet store & more,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Bernese Mountain Dog Club os the Rockies,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Big Bones Canine Rescue,"1/1/2023
 Adult Dogs
 In Shelter",31,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
"Big Dogs Huge Paws, Inc","1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Black Ops Rescue,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Blackhat Humane Society,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Blue Lion Rescue,"1/1/2023
 Adult Dogs
 In Shelter",74,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Bounce Animal Rescue,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Breeder Release Adoption Service,"1/1/2023
 Adult Dogs
 In Shelter",49,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Brighter Days Dog Rescue,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Canine Partners of the Rockies,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Cat Care Durango,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Cat Care Society,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
cats alive slv,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Cats League & Assistance of the Western Slope,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Cats League and Assistance of the Western Slope Adoption Center,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
"Cavalier King Charles Spaniel Club Rescue, Inc.","1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Cavy Care Inc.,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
"Chihuahua & Small Dog Rescue, Inc.","1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Chow Down - Evergreen,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Circle 2 Rescue,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
City of Aurora Animal Services,"1/1/2023
 Adult Dogs
 In Shelter",28,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
City of Brush Animal Shelter,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
City of Burlington Animal Shelter,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
City of Cortez Animal Shelter,"1/1/2023
 Adult Dogs
 In Shelter",8,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
City Of Cripple Creek Animal Shelter,"1/1/2023
 Adult Dogs
 In Shelter",39,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
City of La Junta Animal Shelter,"1/1/2023
 Adult Dogs
 In Shelter",5,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
City of Lamar Animal Shelter,"1/1/2023
 Adult Dogs
 In Shelter",7,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
City of Las Animas / Bent County Shelter,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
City of Rocky Ford Animal Shelter,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
City of Wray Animal Shelter,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
CITY OF YUMA ANIMAL SHELTER,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
CLAWA Animal Rescue,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Colorado Animal Care Foundation,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Colorado Animal Rescue,"1/1/2023
 Adult Dogs
 In Shelter",12,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Colorado Animal Welfare League,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Colorado Basenji Rescue,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Colorado Beagle Rescue,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Colorado Bullies & More,"1/1/2023
 Adult Dogs
 In Shelter",27,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Colorado Corgis and Friends,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Colorado Feline Foster Rescue,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Colorado Greyhound Adoption,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Colorado Herding Dog Rescue,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Colorado Japanese Chin Rescue,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Colorado Kitty Coalition,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Colorado Pug Rescue,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Colorado Puppy Rescue of Colorado,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Colorado Reptile Humane Society,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Colorado Senior Dog Rescue and Hospice,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Colorado Springs All Breed Rescue,"1/1/2023
 Adult Dogs
 In Shelter",6,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Colorado St Bernard Rescue,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
COLORADO WYOMING VIZSLA RESCUE GROUP INC,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Compassion Project Rescue,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Cooper's Companions,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
County of Clear Creek Animal Shelter,"1/1/2023
 Adult Dogs
 In Shelter",13,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
County of Park Animal Shelter,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Cuddle Bug Chinchillas,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
"Dalmatian Rescue of Colorado, Inc.","1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
"Dancing Dog Rescue and Recovery Ranch, Inc.","1/1/2023
 Adult Dogs
 In Shelter",1,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Delta County Citizens for Animal Welfare and Shelter,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
DELTA COUNTY HUMANE SOCIETY,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Demi's Animal Rescue,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Denkai Animal Sanctuary,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Denver Animal Shelter,"1/1/2023
 Adult Dogs
 In Shelter",124,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Denver Cat Rescue,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
DMK Rehoming,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Do Over Dogs A Second Chance At Life,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Dogs Unbroken,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Douglas County Canine Rescue,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Dumb Friends League,"1/1/2023
 Adult Dogs
 In Shelter",166,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Dumb Friends League - Veterinary Hospital at CSU Spur,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Dumb Friends League Buddy Center,"1/1/2023
 Adult Dogs
 In Shelter",48,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Dumb Friends League San Luis Valley Animal Center,"1/1/2023
 Adult Dogs
 In Shelter",9,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Durango Animal Connection,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Eagle County Animal Shelter and Services,"1/1/2023
 Adult Dogs
 In Shelter",4,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Eagle Valley Humane Society,"1/1/2023
 Adult Dogs
 In Shelter",2,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Eastern Plains Animal Welfare Alliance-EPAWA,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Eaton Animal Den,"1/1/2023
 Adult Dogs
 In Shelter",5,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
El Paso County Canine Rescue,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
"English Springer Rescue America, Inc","1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
"Estes Park Pet Lodge, Inc","1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Evergreen Animal Protective League,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Exotic Bird Ranch,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Farfel's Farm & Rescue,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Feeders Unlimited,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Fen's Haven,"1/1/2023
 Adult Dogs
 In Shelter",22,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Ferret Dreams Rescue & Adoption,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Fins & Feathers LLC,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Foothills Animal Shelter,"1/1/2023
 Adult Dogs
 In Shelter",93,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
"For Pets' Sake, Inc.","1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Forgotten Felines Rescue,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Fort Morgan Humane Society,"1/1/2023
 Adult Dogs
 In Shelter",22,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Foster Kitten Mama,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Friends of Retired Greyhounds,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
From forgotten to forever rescue,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Front Range German Shepard Rescue,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Front Range Reptiles,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Fureverdog Rescue,"1/1/2023
 Adult Dogs
 In Shelter",10,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Golden Growls Senior Rescue,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Golden Retriever Freedom Rescue,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Golden Retriever Rescue of the Rockies,"1/1/2023
 Adult Dogs
 In Shelter",13,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Grand County Animal Shelter,"1/1/2023
 Adult Dogs
 In Shelter",1,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Grand Rivers Humane Society,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Gray Muzzle Society,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Great Pyrenees Rescue & Sanctuary,"1/1/2023
 Adult Dogs
 In Shelter",10,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Grey Ghost Weimaraner Rescue,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Gunnison Valley Animal Welfare League,"1/1/2023
 Adult Dogs
 In Shelter",4,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Happy Cats Haven,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Happy Haven Farm & Sanctuary,"1/1/2023
 Adult Dogs
 In Shelter",26,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Harley's Dream,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Harley's Hope Foundation,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Harmony Animal Matchmaker and Sanctuary,"1/1/2023
 Adult Dogs
 In Shelter",35,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Havok's Wolfpack,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
HemoSolutions,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
High County Basset Hound Rescue,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Ho-Bo Care Boxer Rescue,"1/1/2023
 Adult Dogs
 In Shelter",17,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Hoffmanns Little Have,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Homeward Bound Rescue of Colorado,"1/1/2023
 Adult Dogs
 In Shelter",2,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Hoof and Paw,"1/1/2023
 Adult Dogs
 In Shelter",1,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Hope For Animals-Clear Creek Rescue,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Humane Society of Boulder Valley,"1/1/2023
 Adult Dogs
 In Shelter",43,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Humane Society of Fremont County,"1/1/2023
 Adult Dogs
 In Shelter",40,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Humane Society of Moab Valley dba Petco,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Humane Society of Pagosa Springs,"1/1/2023
 Adult Dogs
 In Shelter",21,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Humane Society of the Pikes Peak Region,"1/1/2023
 Adult Dogs
 In Shelter",149,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Humane Society of the Pikes Peak Region - Pueblo,"1/1/2023
 Adult Dogs
 In Shelter",55,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Humane Society of the South Platte Valley,"1/1/2023
 Adult Dogs
 In Shelter",34,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Humane Society of Weld County,"1/1/2023
 Adult Dogs
 In Shelter",42,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Indigo Mountain Nature Center,"1/1/2023
 Adult Dogs
 In Shelter",30,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Inge Trump,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
InsideReef llc,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Intermountain Humane001qm2,"1/1/2023
 Adult Dogs
 In Shelter",4,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
"International Hearing Dog, Inc.","1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
iResQ RR,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Jailbreak Husky Rescue,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
JJ Helping Paws Inc,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Journey Home Animal Care Center,"1/1/2023
 Adult Dogs
 In Shelter",14,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Karl's Canine Krew,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Katmandu Paonia,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
KOT Kitten Korner,"1/1/2023
 Adult Dogs
 In Shelter",1,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
L.O.L.A.'S Rescue,"1/1/2023
 Adult Dogs
 In Shelter",7,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
La Plata County Humanesociety,"1/1/2023
 Adult Dogs
 In Shelter",4,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Leadville Lake County Animal Shelter,"1/1/2023
 Adult Dogs
 In Shelter",2,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Life is Better Rescue,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Life is Better Rescue,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Lifeline Puppy Rescue,"1/1/2023
 Adult Dogs
 In Shelter",3,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
"Lightshine Canine, LLC","1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Little Paws Matter,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Little Paws Matter,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Little Rescue On The Prairie,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Live Love Animal Rescue,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Logan County Humane Society,"1/1/2023
 Adult Dogs
 In Shelter",12,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Loma Cat House Inc,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Longmont Friends of Feral & Abandoned Cats,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Longmont Humane Society,"1/1/2023
 Adult Dogs
 In Shelter",78,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
lookwhatthecatbroughtin,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Lucky Day Animal Rescue of Colorado,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Majestic Canine Rescue,"1/1/2023
 Adult Dogs
 In Shelter",88,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
Mattersville,"1/1/2023
 Adult Dogs
 In Shelter",13,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
MaxFund Cats,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
MaxFund Inc,"1/1/2023
 Adult Dogs
 In Shelter",64,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
MaxFund Meow Manor,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
MidAmerica Boston Terrier Rescue,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
"Mile High Canine Rescue, Inc.","1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs
